company,Prev_Close,Current_Price,Changes,comments
Jindal St & Pwr,520.80,564.45,8.38,weekly nse groupall 2022-12-02
Atul Ltd.,"8,201.55","8,887.35",8.36,weekly nse groupall 2022-12-02
MPS Infotecnics,0.60,0.65,8.33,weekly nse groupall 2022-12-02
Repco Home Finance L,226.10,244.75,8.25,weekly nse groupall 2022-12-02
Weizmann,107.10,115.90,8.22,weekly nse groupall 2022-12-02
AYM Syntex,71.90,77.80,8.21,weekly nse groupall 2022-12-02
Century Extru.,10.35,11.20,8.21,weekly nse groupall 2022-12-02
JM Financial Ltd.,73.55,79.55,8.16,weekly nse groupall 2022-12-02
Vertoz Advertising,182.80,197.70,8.15,weekly nse groupall 2022-12-02
D B Realty Ltd.,97.45,105.35,8.11,weekly nse groupall 2022-12-02
Ahlada Engineers,101.90,110.15,8.1,weekly nse groupall 2022-12-02
Archies Ltd.,24.10,26.05,8.09,weekly nse groupall 2022-12-02
Pearl Global Industr,440.80,476.30,8.05,weekly nse groupall 2022-12-02
Sutlej Textiles & In,59.90,64.70,8.01,weekly nse groupall 2022-12-02
SPML Infra,31.20,33.70,8.01,weekly nse groupall 2022-12-02
Jyothy Labs,194.85,210.45,8.01,weekly nse groupall 2022-12-02
Power Mech Projects,"2,136.50","2,307.25",7.99,weekly nse groupall 2022-12-02
Aarvi Encon,169.00,182.50,7.99,weekly nse groupall 2022-12-02
GRM Overseas,342.40,369.75,7.99,weekly nse groupall 2022-12-02
Pioneer Distille,183.25,197.85,7.97,weekly nse groupall 2022-12-02
Radico Khaitan,"1,051.10","1,134.15",7.9,weekly nse groupall 2022-12-02
Precision Wires,105.85,114.20,7.89,weekly nse groupall 2022-12-02
DFM Foods Limi,373.40,402.75,7.86,weekly nse groupall 2022-12-02
Mangalam Drugs,132.75,143.15,7.83,weekly nse groupall 2022-12-02
Dhruv Consultancy,56.85,61.30,7.83,weekly nse groupall 2022-12-02
Mirc Electronics,14.70,15.85,7.82,weekly nse groupall 2022-12-02
Lupin Ltd.,719.75,776.00,7.82,weekly nse groupall 2022-12-02
SIL Investments Ltd.,306.10,329.90,7.78,weekly nse groupall 2022-12-02
Ramkrishna Forgings,220.70,237.80,7.75,weekly nse groupall 2022-12-02
Saksoft Ltd.,109.60,118.05,7.71,weekly nse groupall 2022-12-02
Sigachi Industries,270.15,290.95,7.7,weekly nse groupall 2022-12-02
Madhya Bharat Agro,467.40,503.40,7.7,weekly nse groupall 2022-12-02
M&M Fin.Services,212.65,229.00,7.69,weekly nse groupall 2022-12-02
Ceat Ltd.,"1,799.45","1,937.55",7.67,weekly nse groupall 2022-12-02
Alok Industries Ltd.,15.05,16.20,7.64,weekly nse groupall 2022-12-02
Som Distilleries,134.60,144.85,7.62,weekly nse groupall 2022-12-02
Xpro India Ltd.,694.75,747.60,7.61,weekly nse groupall 2022-12-02
SPL Industries L,71.75,77.20,7.6,weekly nse groupall 2022-12-02
Trident Ltd.,34.90,37.55,7.59,weekly nse groupall 2022-12-02
Tilaknagar Industrie,98.90,106.40,7.58,weekly nse groupall 2022-12-02
Nagreeka Exports,39.10,42.05,7.54,weekly nse groupall 2022-12-02
KRBL Ltd.,396.60,426.45,7.53,weekly nse groupall 2022-12-02
Techno Electric&Eng,300.10,322.60,7.5,weekly nse groupall 2022-12-02
Chennai Petro.,201.40,216.50,7.5,weekly nse groupall 2022-12-02
Tanla Platforms,737.50,792.80,7.5,weekly nse groupall 2022-12-02
Bharat Gears,126.85,136.30,7.45,weekly nse groupall 2022-12-02
Venus Pipes & Tubes,663.75,713.15,7.44,weekly nse groupall 2022-12-02
Tide Water Oil,993.60,"1,067.30",7.42,weekly nse groupall 2022-12-02
Airan Ltd.,16.85,18.10,7.42,weekly nse groupall 2022-12-02
Coforge,"3,944.80","4,237.50",7.42,weekly nse groupall 2022-12-02
Bajaj Healthcare,394.25,423.30,7.37,weekly nse groupall 2022-12-02
Shilpa Medicare L,281.40,302.10,7.36,weekly nse groupall 2022-12-02
JK Cement,"3,014.50","3,236.35",7.36,weekly nse groupall 2022-12-02
